Date,High,Low,Open,Close,Volume,Adj Close,pct_change,log_change,volume_change,volume_log_change,7ma,14ma,21ma,28ma,volume_7ma,volume_14ma,volume_21ma,volume_28ma,ema,12ema,26ema,MACD,volume_ema,volume_12ema,volume_26ema,volume_MACD,20std,upper,lower,volume_20std,volume_upper,volume_lower,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif
2010-03-05,60.4,59.6,59.8,60.4,59062000.0,39.68,0.0202702702702702,0.0200675630508087,0.1059264113847018,0.1006833650680043,59.442857142857136,58.92857142857143,59.22857142857143,59.871428571428574,49255714.28571428,50317357.14285714,53267142.85714286,52791000.0,60.07764994685878,59.47548342232952,59.77405677867968,-0.2985733563501611,55599751.44514804,50879104.05034854,51290754.08713596,-411650.03678741306,1.0187195265057591,62.43743905301152,58.36256094698848,1.0187195265057591,59062002.037439056,59061997.962560944,7.82,499.02,142.5,28.43,38.76,15500,19.36,17.42,31.84,0.15,0.68,7.76,0.09,7666.26,351.53,1138.7,10368.96,1634.57,2326.35,2853449163,2131475173,721973990,2638308490,2280762663,357545827,24048795033.0,13154620805.0,10894174228
2010-03-08,61.2,60.6,60.9,61.2,43993000.0,40.21,0.0132450331125828,0.0131580845775109,-0.2551386678405743,-0.2945572092567943,59.871428571428574,59.21428571428572,59.30476190476191,59.81071428571429,47589714.28571428,49014928.571428575,52855428.571428575,53285892.85714286,60.82588331561959,59.74118714410236,59.88520790370528,-0.1440207596029239,47861917.148382686,49818132.24040274,50721900.03683637,-903767.7964336276,1.0998085957876165,63.39961719157524,59.00038280842477,1.0998085957876165,43993002.19961719,43992997.80038281,7.82,517.65,144.0,28.43,38.79,15720,19.31,17.79,31.86,0.15,0.69,7.76,0.09,7762.27,351.21,1138.5,10585.92,1660.04,2332.21,3468835440,1988062453,1480772987,2793812400,2194436811,599375589,26213654567.0,11460036328.0,14753618239
2010-03-09,61.4,60.8,61.2,61.3,29829000.0,40.27,0.0016339869281044,0.0016326534238855,-0.3219603118677971,-0.388549455686821,60.22857142857142,59.49285714285714,59.36666666666667,59.767857142857146,47440000.0,47913642.85714286,52181190.47619048,52665428.571428575,61.141961105206526,59.98130539012024,59.99506410156178,-0.0137587114415467,35839972.38279423,46739022.80476695,49099601.91525796,-2360579.110491015,1.07918097599396,63.45836195198792,59.14163804801208,1.07918097599396,29829002.158361956,29828997.841638047,7.97,521.57,141.0,28.43,38.68,15720,19.35,17.92,31.78,0.15,0.68,7.76,0.09,7770.59,350.47,1140.45,10567.65,1660.83,2340.68,2126283016,1580832636,545450380,2964421550,2481081111,483340439,20155559320.0,10655578412.0,9499980908
2010-03-10,61.4,60.8,61.3,61.4,30540000.0,40.34,0.0016313213703099,0.0016299922109306,0.0238358644272352,0.0235562251244374,60.48571428571429,59.692857142857136,59.36190476190477,59.71071428571429,43210571.42857143,46826928.571428575,49275476.190476194,51888964.28571428,61.31398703506884,60.19979776353438,60.10376645591151,0.0960313076228658,32306657.46093141,44244220.24827925,47663612.96642043,-3419392.718141176,1.176256327238382,63.75251265447676,59.04748734552324,1.176256327238382,30540002.35251265,30539997.647487342,8.03,527.45,142.0,28.43,38.88,15680,19.74,18.57,31.8,0.15,0.69,7.76,0.09,7779.08,358.04,1145.61,10563.92,1662.24,2358.95,1918077660,2147620726,-229543066,2368380100,2361902001,6478099,18112245790.0,11854296210.0,6257949580
2010-03-11,61.8,61.2,61.6,61.4,25340000.0,40.34,0.0,0.0,-0.1702685003274394,-0.1866531248974929,60.7,59.90714285714286,59.43809523809525,59.66785714285714,39188428.571428575,44802714.28571428,46887857.14285714,51910464.28571428,61.37132901168962,60.3846100684528,60.20372867509269,0.1808813933601172,27662219.1536438,41333267.068373166,45942072.96890844,-4608805.900535271,1.259239536595886,63.91847907319177,58.88152092680823,1.259239536595886,25340002.51847907,25339997.48152093,8.05,535.29,144.0,28.43,39.1,15560,19.86,18.06,31.73,0.15,0.69,7.76,0.09,7749.66,357.16,1150.24,10664.95,1656.62,2368.46,2082776886,2068552806,14224080,2224351560,2747345896,-522994336,19331563218.0,14553345382.0,4778217836
2010-03-12,61.5,60.6,61.4,60.8,67894000.0,39.94,-0.009771986970684,-0.0098200461809749,1.6793212312549328,0.9855634905242175,60.81428571428571,60.035714285714285,59.523809523809526,59.65714285714285,44294714.28571428,46258071.42857143,47001380.95238096,52052464.28571428,60.99044300389654,60.44856476227109,60.24957207777593,0.1989926844951597,54483406.38454793,45422638.07432047,47629813.07734998,-2207175.003029518,1.2928548581377692,63.385709716275535,58.21429028372446,1.2928548581377692,67894002.58570972,67893997.41429028,8.09,527.45,142.0,28.43,38.95,15560,19.65,17.58,31.7,0.15,0.69,7.76,0.09,7748.33,355.37,1149.99,10751.26,1662.74,2367.66,2082122240,1583527559,498594681,1957003940,2748747987,-791744047,19375067817.0,16839578091.0,2535489726
2010-03-15,61.3,59.8,61.3,59.8,37911000.0,39.29,-0.0164473684210526,-0.0165841280155349,-0.4416148702389018,-0.5827063579725547,60.89999999999999,60.035714285714285,59.523809523809526,59.63571428571429,42081285.71428572,45370071.42857143,46786380.95238096,51186750.0,60.19681433463217,60.34872143387348,60.21510425424801,0.1336171796254674,43435135.46151597,44266258.64903041,46884690.436041534,-2618431.787011124,1.2906444738558494,62.381288947711695,57.2187110522883,1.2906444738558494,37911002.58128895,37910997.41871105,7.99,519.61,140.5,28.43,38.87,15360,19.42,18.0,31.79,0.15,0.68,7.76,0.09,7634.92,350.43,1150.51,10751.98,1649.5,2362.21,1850891961,3197094977,-1346203016,1548638700,2375784434,-827145734,12264155802.0,14224720842.0,-1960565040
2010-03-16,60.2,59.7,60.1,59.7,29394000.0,39.22,-0.0016722408026754,-0.0016736405580299,-0.2246577510485083,-0.2544507355601624,60.8,60.121428571428574,59.55238095238095,59.62142857142857,37843000.0,43549357.14285714,46159238.0952381,49411107.14285714,59.86560477821072,60.24886386121061,60.175714382394254,0.0731494788163544,34074378.487171985,41976974.57244456,45547182.44765333,-3570207.8752087727,1.1666867166196535,62.03337343323931,57.36662656676069,1.1666867166196535,29394002.333373435,29393997.666626565,8.02,521.57,141.0,28.43,39.01,15300,19.5,17.69,31.78,0.15,0.68,7.76,0.09,7695.63,359.87,1159.46,10721.71,1648.01,2378.01,2229057325,1933122375,295934950,1951825550,2061266854,-109441304,12326062869.0,12357415674.0,-31352805
2010-03-17,60.9,59.9,60.5,60.5,68876000.0,39.75,0.0134003350083751,0.0133113446382395,1.343199292372593,0.8515172145394487,60.7,60.285714285714285,59.7095238095238,59.65357142857143,41397714.28571428,44493714.28571428,46475857.14285714,49991000.0,60.28853492607024,60.2875179675202,60.200453143831176,0.087064823689019,57275459.49572399,46117190.28776596,47326866.83912851,-1209676.5513625515,1.0492478509062977,62.5984957018126,58.401504298187405,1.0492478509062977,68876002.0984957,68875997.9015043,8.0,536.27,143.5,28.43,38.9,15960,19.89,16.91,31.69,0.15,0.69,7.76,0.09,7847.84,364.06,1166.21,10846.98,1682.86,2389.09,6255961760,1870779550,4385182210,2844025450,2981639303,-137613853,36731397246.0,16707498170.0,20023899076
2010-03-18,60.6,60.0,60.1,60.4,70048000.0,39.68,-0.0016528925619834,-0.0016542600960267,0.0170160868807712,0.0168729349165097,60.57142857142857,60.4,59.85238095238096,59.66785714285714,47143285.71428572,47291642.85714286,47656857.14285714,50921714.28571428,60.36284497535674,60.30482963245338,60.21564235345528,0.0891872789981036,65790486.49857467,49800286.60265915,49056365.670148514,743920.9325106367,1.015290987586115,62.43058197517223,58.369418024827766,1.015290987586115,70048002.03058198,70047997.96941802,8.02,530.39,145.0,28.43,40.43,15940,19.98,16.62,31.8,0.15,0.69,7.76,0.09,7886.34,361.64,1165.83,10744.03,1675.17,2391.28,5210194820,2682856895,2527337925,2674426940,2882130884,-207703944,31015805371.0,18648321445.0,12367483926
