Date,High,Low,Open,Close,Volume,Adj Close,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,7rsv,14rsv,21rsv,AAPL,MTK,GUC,Xintec,Qualcomm,SamSung,Broadcom,VIX,USD,CNY,CCY,HKD,JPY,TWIndex,PLIX,S&P500,Japan225,KoreanIndex,NASDQ,dealer_buy,dealer_sell,dealer_dif,investment_buy,investment_sell,investment_dif,foreign_buy,foreign_sell,foreign_dif,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components,FT_100components
2010/3/17,54.15000153,53.40000153,53.45000076,54.15000153,14721,54.15000153,0.019774069,0.019581102,53.45328582,53.22526402,53.18170051,-0.279301644,0.088526944,0.499999455,0.632142748,0.630952381,54.45444491,52.67412565,54.5390171,51.66098312,54.46903477,50.9595363,100,100,100,8,536.27,143.5,28.43,38.9,15960,19.89,16.91,31.69,0.15,0.69,7.76,0.09,7847.84,364.06,1166.21,10846.98,1682.86,2389.09,6255961760,1870779550,4385182210,2844025450,2981639303,-137613853,36731397246,16707498170,20023899076,94.2091972,92.21509217,84.2675355,70.28321187,45.44095625,48.08859262
2010/3/18,54.54999924,54.04999924,54.25,54.40000153,8570,54.40000153,0.004616805,0.00460618,53.68996507,53.38208381,53.2937253,-0.345916589,0.023813751,0.535713741,0.628571374,0.630952381,54.7393446,52.56065518,54.59702547,52.01011793,54.56628763,51.20037896,100,100,100,8.02,530.39,145,28.43,40.43,15940,19.98,16.62,31.8,0.15,0.69,7.76,0.09,7886.34,361.64,1165.83,10744.03,1675.17,2391.28,5210194820,2682856895,2527337925,2674426940,2882130884,-207703944,31015805371,18648321445,12367483926,94.08687946,91.874706,83.73467084,68.9354583,45.74991037,49.42563297
2010/3/19,54.45000076,54,54.45000076,54.25,5388,54.25,-0.002757381,-0.002761189,53.82997394,53.49792641,53.38156477,-0.391505863,-0.039214835,0.528570993,0.557142803,0.609523773,54.89427993,52.5342915,54.75784513,52.05644124,54.67950973,51.3442998,90.32250126,93.18175119,94.73679279,7.94,528.43,144,28.43,40.05,16080,20.11,16.97,31.68,0.15,0.68,7.76,0.09,7897.91,355.67,1159.9,10824.72,1686.11,2374.41,3021141050,2538228333,482912717,2293139070,2559412033,-266272963,20598848873,18400804234,2198044639,93.9642736,91.53447651,83.20405099,67.61505662,46.29746695,50.85573224
2010/3/22,54,53.25,54,53.70000076,7349,53.70000076,-0.010138235,-0.010189977,53.79748062,53.52489396,53.41078732,-0.367039205,-0.085587081,0.564285278,0.571428571,0.619047619,54.90021145,52.54264548,54.76673087,52.19755539,54.72666359,51.4495271,54.83874937,68.18179454,75.43858945,8.03,519.61,143,28.43,40.28,16020,19.94,16.87,31.78,0.15,0.68,7.76,0.09,7835.98,364.25,1165.81,10824.72,1672.67,2395.4,3106014084,2904160820,201853264,2506948590,2950054074,-443105484,10516125515,18424743116,-7908617601,93.84138202,91.19442778,82.67574775,66.32328087,47.0481548,52.3105378
2010/3/23,53.79999924,53.25,53.70000076,53.34999847,8057,53.34999847,-0.006517733,-0.006539067,53.68561002,53.50155633,53.40521358,-0.288965289,-0.111581962,0.599999564,0.567857197,0.619047437,54.89638353,52.47504483,54.72868167,52.33560416,54.75034574,51.49727353,32.258001,52.27260511,63.15781725,8.16,508.82,143.5,28.43,40.52,16180,20.22,16.35,31.77,0.15,0.68,7.76,0.09,7811.87,372.47,1174.17,10774.15,1681.82,2415.24,3156692146,3494584699,-337892553,3668903470,3918115883,-249212413,15485367490,18174368073,-2689000583,93.71820719,90.85458382,82.14983229,65.0613489,47.9647842,53.72702309
2010/3/24,53.75,53.45000076,53.5,53.5,19132,53.5,0.00281165,0.002807705,53.6392075,53.50134868,53.41389778,-0.216884214,-0.126755932,0.521428244,0.510714122,0.607142675,54.76996517,52.7871779,54.54632973,52.70367027,54.78262898,51.55070472,30.76927591,41.93549975,68.42102445,8.19,509.8,144,28.43,40.19,16380,19.62,17.55,31.8,0.15,0.68,7.76,0.08,7822.71,365.37,1167.72,10815.03,1681.01,2398.76,3331295373,3070714751,260580622,2388404900,2747384851,-358979951,25061572166,18794672587,6266899579,93.59475153,90.51496859,81.6263751,63.83042014,49.00924712,55.04924946
2010/3/25,53.70000076,52.90000153,53.34999847,53.5,14528,53.5,0,0,53.60440561,53.50116875,53.42178075,-0.157174436,-0.134209494,0.585714068,0.51785687,0.626190367,54.67974281,52.99168642,54.50500907,52.82356225,54.79163603,51.66074528,14.28581809,41.93549975,68.42102445,8.09,524.51,144.5,28.43,42.19,16380,19.65,18.4,31.79,0.15,0.68,7.76,0.08,7838.1,364.83,1165.73,10828.85,1688.39,2397.41,4817816170,2879786990,1938029180,2602441800,2479493259,122948541,21369375959,23885498867,-2516122908,93.4710175,90.17560597,81.10544604,62.63159333,50.14331595,56.22980953
2010/3/26,54.15000153,52.90000153,53.25,54,11506,54,0.009345794,0.009302393,53.70330423,53.56771341,53.47468473,-0.152161151,-0.146803898,0.657142639,0.578571047,0.640476045,54.62815496,53.00041669,54.54878481,52.82978629,54.75968101,51.91650968,61.9047273,74.19350075,85.96487001,8.25,549.02,146.5,28.43,41.83,16400,19.91,17.77,31.83,0.15,0.68,7.76,0.08,7876.86,362.89,1166.59,10996.37,1697.72,2395.13,4000335879,2460954487,1539381392,2541622400,2863195132,-321572732,29229664830,21336435949,7893228881,93.34700757,89.83651977,80.58711424,61.46590456,51.32942251,57.23091048
2010/3/29,54.54999924,54.15000153,54.15000153,54.5,16231,54.5,0.009259259,0.009216655,53.90247821,53.69207308,53.56844071,-0.203780268,-0.171779382,0.642856598,0.589285169,0.633333115,54.69239498,52.96474766,54.70179866,52.77677255,54.73099792,52.22614523,100,100,100,8.3,547.06,146,28.43,41.76,16360,20.22,17.59,31.72,0.15,0.69,7.76,0.08,7947.45,366.37,1173.22,10986.47,1691.99,2404.36,4375002053,2796905445,1578096608,2643862610,2087012190,556850420,24246317882,12096027813,12150290069,93.22272419,89.49773374,80.07144817,60.33432535,52.53140042,58.02507004
2010/3/30,54.54999924,54.34999847,54.5,54.45000076,7586,54.45000076,-0.000917417,-0.000917838,54.03935887,53.79316871,53.64900868,-0.253930714,-0.200933287,0.607142312,0.567856652,0.573809306,54.79598792,52.9182978,54.82081416,52.75061442,54.83748911,52.27679704,95.65224602,96.96974601,97.82611941,8.42,539.22,144,28.43,42.13,16280,20.38,17.13,31.74,0.15,0.69,7.76,0.08,7962.22,368.9,1173.27,11097.14,1700.19,2410.69,2777796250,3060178700,-282382450,2817299910,2709020018,108279892,20722083020,15110171513,5611911507,93.09816985,89.15927154,79.55851555,59.23776097,53.71517458,58.59541269
